trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,14,11.203869894357487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,13,15.585371984608788,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,4,-9.715040858225105,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,9,19.384105238802473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,2,-22.3145002854706,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,3,5.702599264008016,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,12,8.2369673597792,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,15,-0.8721636152547072,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,14,-10.86966306932987,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,7,9.124745259680276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,8,16.301159209891615,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,6,-36.49898050770095,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,5,-24.89857566451085,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,16,-37.57929126642339,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,15,19.369662999234244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,16,6.137476555212105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,14,20.916873160581613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,19.44799020940288,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",30,15,-7.195386470672938,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,16,17.225227952691913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,15,6.505044539131055,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,9,8.630527168397776,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,12,-9.16078210114853,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,17,11.093346657900645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,8,11.837805023948667,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,6,9.696463980274187,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,16,7.021362550689319,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",30,0,-101.39353946188021,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,12,4.036156066401304,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",35,19,-39.66189649272058,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,12,4.816129108034131,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,13,11.852819715560797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,0,-78.96500266520451,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,20,12.24110393630772,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,11,7.149140327730623,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,15,2.8187436543848032,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,8,-12.636351730112292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,9,-22.44622308290673,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,17,0.462413327836098,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,9,8.45130060840007,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
